model,brier,log_loss,n_test
logreg_baseline,0.1555913153365327,0.46733680677097766,492042
gradient_boosting_uncal,0.15188988147076868,0.454388719349897,492042
gradient_boosting_calibrated,0.1519294389600608,0.4551818705096442,492042
